frame_number,time_seconds,hands_detected,dom_hand_confidence,dom_hand_x,dom_hand_y,dominant_hand_velocity,dominant_hand_acceleration
0,0.0,0,0.0,,,0.0,0
10,0.1694915254237288,0,0.0,,,0.0,0
20,0.3389830508474576,0,0.0,,,0.0,0
30,0.5084745762711864,0,0.0,,,0.0,0
40,0.6779661016949152,0,0.0,,,0.0,0
50,0.847457627118644,0,0.0,,,0.0,0
60,1.0169491525423728,0,0.0,,,0.0,0
70,1.1864406779661016,0,0.0,,,0.0,0
80,1.3559322033898304,0,0.0,,,0.0,0
90,1.5254237288135593,0,0.0,,,0.0,0
100,1.694915254237288,0,0.0,,,0.0,0
110,1.8644067796610169,0,0.0,,,0.0,0
120,2.0338983050847457,0,0.0,,,0.0,0
130,2.2033898305084745,0,0.0,,,0.0,0
140,2.3728813559322033,0,0.0,,,0.0,0
150,2.542372881355932,0,0.0,,,0.0,0
160,2.711864406779661,0,0.0,,,0.0,0
170,2.8813559322033897,0,0.0,,,0.0,0
180,3.0508474576271185,0,0.0,,,0.0,0
190,3.2203389830508473,0,0.0,,,0.0,0
200,3.389830508474576,0,0.0,,,0.0,0
210,3.559322033898305,1,0.6601487398147583,518.0,583.0,0.0,0
220,3.7288135593220337,0,0.0,,,0.0,0
230,3.8983050847457625,0,0.0,,,0.0,0
240,4.067796610169491,0,0.0,,,0.0,0
250,4.237288135593221,0,0.0,,,0.0,0
260,4.406779661016949,0,0.0,,,0.0,0
270,4.576271186440678,0,0.0,,,0.0,0
280,4.745762711864407,0,0.0,,,0.0,0
290,4.915254237288136,0,0.0,,,0.0,0
300,5.084745762711864,1,0.9841955304145813,901.0,785.0,0.0,0
310,5.254237288135593,1,0.9932982325553894,897.0,885.0,100.07996802557443,0
320,5.423728813559322,1,0.9975060820579529,911.0,940.0,56.753854494650845,0
330,5.593220338983051,0,0.0,,,0.0,0
340,5.762711864406779,0,0.0,,,0.0,0
350,5.932203389830509,0,0.0,,,0.0,0
360,6.101694915254237,0,0.0,,,0.0,0
370,6.271186440677966,0,0.0,,,0.0,0
380,6.440677966101695,0,0.0,,,0.0,0
390,6.610169491525424,0,0.0,,,0.0,0
400,6.779661016949152,0,0.0,,,0.0,0
410,6.9491525423728815,1,0.8667810559272766,1004.0,601.0,0.0,0
420,7.11864406779661,1,0.937118411064148,1009.0,622.0,21.587033144922902,0
430,7.288135593220339,0,0.0,,,0.0,0
440,7.4576271186440675,1,0.6768114566802979,570.0,811.0,0.0,0
450,7.627118644067797,0,0.0,,,0.0,0
460,7.796610169491525,0,0.0,,,0.0,0
470,7.966101694915254,0,0.0,,,0.0,0
480,8.135593220338983,0,0.0,,,0.0,0
490,8.305084745762711,0,0.0,,,0.0,0
500,8.474576271186441,0,0.0,,,0.0,0
510,8.64406779661017,0,0.0,,,0.0,0
520,8.813559322033898,0,0.0,,,0.0,0
530,8.983050847457626,0,0.0,,,0.0,0
540,9.152542372881356,0,0.0,,,0.0,0
550,9.322033898305085,0,0.0,,,0.0,0
560,9.491525423728813,0,0.0,,,0.0,0
570,9.661016949152541,0,0.0,,,0.0,0
580,9.830508474576272,0,0.0,,,0.0,0
590,10.0,0,0.0,,,0.0,0
600,10.169491525423728,0,0.0,,,0.0,0
610,10.338983050847459,0,0.0,,,0.0,0
620,10.508474576271187,0,0.0,,,0.0,0
630,10.677966101694915,0,0.0,,,0.0,0
640,10.847457627118644,0,0.0,,,0.0,0
650,11.016949152542374,0,0.0,,,0.0,0
660,11.186440677966102,0,0.0,,,0.0,0
670,11.35593220338983,0,0.0,,,0.0,0
680,11.525423728813559,0,0.0,,,0.0,0
690,11.694915254237289,0,0.0,,,0.0,0
