time_seconds,hand_x,hand_y,velocity,pipette_angle,hands_detected,operator_type
0.0,981.2433489517732,534.8237608514487,0.0,3.8606972668185193,0,Novice
1.0,990.2857442376798,564.5751104614316,24.876111800642963,-8.242140631091278,1,Novice
2.0,1052.259563411861,571.667791188972,49.90269176186442,14.332713207981678,1,Novice
3.0,1048.3365645613076,592.0373604724534,16.595117793394397,40.55020903748638,0,Novice
4.0,1036.1604268744024,557.2442479758901,29.48972980459724,9.835918310598782,0,Novice
5.0,1123.6326844733678,590.22573370005,74.7868405538096,28.08544309100091,1,Novice
6.0,1122.1102730224834,591.0305203589111,1.3776311708586801,29.06585667531552,1,Novice
7.0,1121.4189138920774,576.969554864109,11.262361474382477,10.271896317880454,1,Novice
8.0,1134.743055054927,612.577299117988,30.415198185930098,36.939080625325325,1,Novice
9.0,1174.4110120786247,642.2168687143792,39.61455005661021,-33.477679074675066,1,Novice
10.0,1181.5486355367145,627.7159107228882,12.92992686879142,-5.379171312302919,0,Novice
11.0,1172.8698840498564,628.1640842484518,6.952252556041184,-0.26053827264099816,1,Novice
12.0,1226.1383585198678,666.8051128364217,52.646196976867,1.3380829522101685,1,Novice
13.0,1244.4466441848742,676.0747736493147,16.416965577403197,20.604382519764926,1,Novice
14.0,1283.3008989940658,673.8319768248306,31.135145459738,19.833963384231698,0,Novice
15.0,1314.9778793826652,683.7414980439545,26.552645937692574,21.56650953625013,0,Novice
16.0,1301.4192550381467,662.7234255073581,20.00952840654703,24.934691568874783,1,Novice
17.0,1305.0409158534421,682.3205096616203,15.94314166099582,-0.8350761524274901,1,Novice
18.0,1276.347046879685,686.6699690014407,23.21731647862027,-5.302934446788651,1,Novice
19.0,1253.1726390558101,663.7151120742773,26.094948287008364,21.60532803346438,1,Novice
20.0,1213.2416371423228,649.2089908132858,33.9874091308274,4.496132105892681,1,Novice
21.0,1140.7655428705536,612.5942994285699,64.95990081809354,-11.174584089466176,0,Novice
22.0,1106.256444735337,609.1802737584304,27.742050974012802,31.18907140902469,0,Novice
23.0,1081.2902194739631,599.0587687190415,21.551905984413192,38.25169844170496,1,Novice
24.0,995.8372065365232,558.3678995179638,75.71721814826738,40.952681494977654,1,Novice
25.0,973.4203560983553,557.0879644489436,17.962688749259716,18.116795357912004,1,Novice
26.0,1008.7793893740959,548.9779546746985,29.021740736029233,25.432201599548378,1,Novice
27.0,994.9195469514297,544.0170179800706,11.776753369087615,37.83113705603185,1,Novice
28.0,1055.4526702863882,575.4756092707895,54.5756105918784,4.309736832942763,1,Novice
